date,AAPL,GOOGL,MSFT
2015-12-04,109.3539,769.71,50.6474
2015-12-07,112.8539,780.06,52.2102
2015-12-08,111.4691,764.5,51.9107
2015-12-09,111.5829,771.1,51.8171
2015-12-10,110.0653,763.59,51.8359
2015-12-11,109.259,749.0,51.1995
2015-12-14,106.404,751.26,50.8439
2015-12-15,106.1764,767.79,52.0885
2015-12-16,105.3512,766.57,51.9762
2015-12-17,106.2523,781.16,52.7436
2015-12-18,103.3024,767.23,52.1915
2015-12-21,101.7563,763.05,51.3586
2015-12-22,101.8701,764.27,51.4615
2015-12-23,101.7468,770.69,52.126
2015-12-24,103.3877,768.52,52.2757
2015-12-28,102.0503,770.0,51.7984
2015-12-29,101.4528,786.99,52.6781
2015-12-30,102.9894,793.96,52.8466
2015-12-31,101.5002,787.82,52.4442
2016-01-04,97.3268,762.2,50.8345
2016-01-05,100.3051,764.1,51.4054
2016-01-06,95.3823,750.37,50.8345
2016-01-07,93.5991,746.49,49.3185
2016-01-08,93.4758,747.8,49.0096
2016-01-11,93.8742,731.95,49.1407
2016-01-12,95.3728,740.75,49.3746
2016-01-13,95.1547,749.34,50.3479
2016-01-14,92.9162,724.44,48.6634
2016-01-15,91.2468,709.99,48.0177
2016-01-19,93.343,720.15,48.1768
2016-01-20,90.2034,705.9,46.773
2016-01-21,92.0625,720.17,47.7276
2016-01-22,93.5517,742.0,48.1112
2016-01-25,96.2929,743.84,48.6072
2016-01-26,94.7848,735.21,48.4669
2016-01-27,91.095,735.89,48.6727
2016-01-28,88.9609,738.19,48.5324
2016-01-29,89.9094,748.96,51.2182
2016-02-01,91.5029,771.26,51.3586
2016-02-02,90.507,800.5,50.6942
2016-02-03,90.1086,786.28,49.8332
2016-02-04,91.4177,744.59,48.757
2016-02-05,92.0471,725.5,48.6072
2016-02-08,88.8142,687.68,46.3706
2016-02-09,89.9204,692.95,45.8746
2016-02-10,91.4749,711.79,46.6888
2016-02-11,89.4436,696.34,45.5564
2016-02-12,89.8251,712.21,47.0257
2016-02-16,90.6166,718.65,47.976
2016-02-17,92.1902,727.0,48.5321
2016-02-18,94.2596,733.96,49.3238
2016-02-19,91.5512,715.9,48.9845
2016-02-22,91.8468,729.51,49.2767
2016-02-23,91.9327,726.1,49.3333
2016-02-24,89.6248,710.61,47.7781
2016-02-25,91.5989,722.93,48.7583
2016-02-26,92.6956,733.6,49.5783
2016-02-29,92.3713,721.0,48.4001
2016-03-01,93.1247,721.3,48.042
2016-03-02,95.8522,742.87,49.3992
2016-03-03,95.919,739.48,49.9271
2016-03-04,97.626,734.8,49.3898
2016-03-07,97.6451,725.15,48.5981
2016-03-08,96.1097,708.39,47.8817
2016-03-09,96.6151,715.165,48.9091
2016-03-10,96.7105,727.79,49.8894
2016-03-11,97.502,739.95,49.9554
2016-03-14,97.1873,744.97,49.682
2016-03-15,99.1423,746.02,49.7197
2016-03-16,99.7622,749.05,50.3795
2016-03-17,100.63,757.65,51.0958
2016-03-18,101.412,761.63,51.7651
2016-03-21,101.021,753.91,50.191
2016-03-22,100.3725,758.44,50.5303
2016-03-23,101.5455,763.35,51.0016
2016-03-24,100.5823,751.2,50.7471
2016-03-28,101.0878,756.17,51.0958
2016-03-29,100.0292,753.68,50.5774
2016-03-30,103.615,768.21,51.7745
2016-03-31,104.6354,768.34,51.7933
2016-04-01,103.739,757.16,51.8876
2016-04-04,105.303,769.51,52.2458
2016-04-05,104.4351,758.13,52.0195
2016-04-06,105.1218,757.84,51.2372
2016-04-07,104.8547,765.32,51.7179
2016-04-08,103.8629,765.87,51.5294
2016-04-11,103.9201,765.45,51.3598
2016-04-12,104.273,758.43,51.2467
2016-04-13,105.6653,770.31,51.9536
2016-04-14,106.4473,775.36,52.0478
2016-04-15,106.9146,775.5,52.1232
2016-04-18,103.8439,780.19,52.3023
2016-04-19,102.8807,790.5,53.3768
2016-04-20,101.6981,779.16,53.0564
2016-04-21,101.9747,777.31,52.5945
2016-04-22,100.1437,743.91,48.928
2016-04-25,100.1341,735.35,48.8054
2016-04-26,99.0946,744.42,49.2579
2016-04-27,91.5512,725.32,48.5227
2016-04-28,93.0866,723.29,47.7121
2016-04-29,89.6343,704.12,46.515
2016-05-02,89.6105,711.92,47.1277
2016-05-03,89.8346,712.5,47.4482
2016-05-04,90.7883,706.77,46.9769
2016-05-05,90.1897,715.0,47.0052
2016-05-06,89.5852,712.2,47.0523
2016-05-09,89.2302,726.7,47.5895
2016-05-10,89.5469,734.96,47.4387
2016-05-11,89.6908,740.52,48.1928
2016-05-12,88.9616,732.0,48.2588
2016-05-13,86.3519,726.62,48.485
2016-05-16,88.645,724.32,47.8817
2016-05-17,90.7174,731.06,49.0899
2016-05-18,90.3432,718.5,47.9129
2016-05-19,90.8038,718.3,47.9034
2016-05-20,90.8038,716.46,47.9129
2016-05-23,91.9839,719.98,48.0268
2016-05-24,93.2792,719.85,48.1217
2016-05-25,94.6704,735.0,49.2797
2016-05-26,95.6395,736.0,49.2892
2016-05-27,95.4092,737.51,49.2797
2016-05-31,95.5627,748.76,49.6024
2016-06-01,95.0062,748.47,49.7732
2016-06-02,93.6438,746.1,49.9631
2016-06-03,93.8261,741.49,49.7163
2016-06-06,94.018,738.5,49.3461
2016-06-07,95.2269,733.27,49.5834
2016-06-08,95.0062,739.5,49.3746
2016-06-09,94.5073,737.07,49.3556
2016-06-10,94.5361,735.95,48.4539
2016-06-13,94.6896,729.82,47.0587
2016-06-14,93.3751,729.31,47.3624
2016-06-15,93.8549,734.92,47.2485
2016-06-16,92.5404,727.96,47.0017
2016-06-17,92.7035,721.39,47.8465
2016-06-20,92.1086,710.31,48.0648
2016-06-21,91.0916,710.05,47.6472
2016-06-22,92.3485,714.05,48.4824
2016-06-23,92.0511,710.55,48.6722
2016-06-24,89.1439,690.17,47.277
2016-06-27,89.2302,682.49,46.6031
2016-06-28,89.1343,691.37,46.4323
2016-06-29,90.1609,694.26,47.3719
2016-06-30,90.6119,697.65,48.1407
2016-07-01,91.6193,705.1,48.5299
2016-07-05,91.5234,705.01,48.2451
2016-07-06,90.7654,699.84,48.1977
2016-07-07,91.8208,710.11,48.8051
2016-07-08,92.5788,710.56,49.0994
2016-07-11,92.8282,719.42,49.8302
2016-07-12,93.2312,731.92,50.2478
2016-07-13,93.4615,735.52,50.8363
2016-07-14,93.4423,733.94,51.1021
2016-07-15,94.9103,741.0,51.2065
2016-07-18,94.6992,737.91,50.9692
2016-07-19,95.5243,749.87,50.9787
2016-07-20,95.9465,754.05,53.2946
2016-07-21,95.7834,757.0,53.1332
2016-07-22,95.2365,757.32,53.2281
