Age,Gender,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
12,Male,9400,9289,8653,8419,9490,7839,6932,6965,7305,8824,9051,9503,9672,9336,9815,9880,9556,10160,10263,9934,10130,10368,10744,10846,10645,10855,10243,10333,9668,9659,9473,10613,10785,11247,11500,11708,11291,11121,11296,11399,11506,11265,11216,11013,11041,10810,11178,10999,10727,10821
13,All,16212,17896,17931,17098,16554,18594,15462,13551,13883,14403,17125,17339,18428,18753,17964,19096,19157,18671,20008,20364,19558,19702,20302,21008,21265,21124,20934,20078,20082,19033,19127,18946,20644,21133,22146,22446,22845,21991,21962,22019,22388,22286,21988,21186,21013,21153,21041,21681,21640,21021
13,Female,8272,8453,8605,8423,8088,9086,7613,6622,6908,7084,8426,8383,8929,9001,8587,9124,9310,9087,9838,10040,9663,9494,9881,10178,10352,10486,10087,9778,9771,9366,9451,9416,10012,10348,10902,10890,11067,10657,10862,10768,11044,10852,10851,10352,10303,10252,10355,10633,10693,10341
13,Male,7940,9443,9326,8675,8466,9508,7849,6929,6975,7319,8699,8956,9499,9752,9377,9972,9847,9584,10170,10324,9895,10208,10421,10830,10913,10638,10847,10300,10311,9667,9676,9530,10632,10785,11244,11556,11778,11334,11100,11251,11344,11434,11137,10834,10710,10901,10686,11048,10947,10680
14,All,14309,16445,18089,18073,17323,16656,18644,15550,13619,13950,14338,16961,17335,18450,18873,18034,19129,19188,18617,20066,20167,19137,19708,20307,20944,21305,21111,20946,20065,20026,19047,19183,19019,20655,21141,22170,22552,22925,22054,21893,21948,22264,22089,21188,20584,20573,20882,20783,21591,21544
14,Female,7083,8412,8564,8694,8554,8146,9120,7712,6663,6949,7145,8444,8355,8891,9014,8575,9109,9303,9078,9855,9951,9222,9487,9886,10099,10337,10462,10075,9762,9760,9367,9467,9440,10033,10347,10912,10924,11108,10682,10846,10737,10983,10759,10452,10032,10080,10112,10229,10592,10638
14,Male,7226,8033,9525,9379,8769,8510,9524,7838,6956,7001,7193,8517,8980,9559,9859,9459,10020,9885,9539,10211,10216,9915,10221,10421,10845,10968,10649,10871,10303,10266,9680,9716,9579,10622,10794,11258,11628,11817,11372,11047,11211,11281,11330,10736,10552,10493,10770,10554,10999,10906
15,All,13478,15268,17210,18706,18973,17754,16914,18983,15852,13880,14365,14487,17169,17771,18955,19174,18260,19316,18874,18745,20032,19830,19309,19778,20302,20976,21241,20918,20757,19818,19731,18792,19079,18925,20480,21038,21993,22367,22809,21769,21760,21776,22021,21275,20501,20172,20263,20619,20662,21500
15,Female,6810,7588,8814,8892,9176,8780,8285,9470,7875,6803,7132,7267,8606,8476,9189,9171,8703,9145,9385,9079,9860,9516,9324,9501,9903,10068,10286,10388,10034,9662,9637,9265,9414,9408,9905,10351,10843,10818,11017,10643,10771,10649,10878,10355,10086,9811,9925,9991,10164,10547
15,Male,6668,7680,8396,9814,9797,8974,8629,9513,7977,7077,7233,7220,8563,9295,9766,10003,9557,10171,9489,9666,10172,10314,9985,10277,10399,10908,10955,10530,10723,10156,10094,9527,9665,9517,10575,10687,11150,11549,11792,11126,10989,11127,11143,10920,10415,10361,10338,10628,10498,10953
