Age,Gender,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
57,Male,4072,3982,3958,4175,4403,4253,4807,4796,5278,4977,5624,5633,5640,5417,6009,5646,5493,5735,5904,5914,6006,5636,5812,4995,4060,3625,5063,4493,4796,5458,5744,6119,6243,6484,7371,8753,8486,8363,8838,8460,8519,7457,7358,7892,7992,8507,8257,8071,7478,8155
58,All,10641,10781,10843,10540,11540,11646,11082,12761,12427,14404,12778,13983,14149,14087,13698,14791,14291,14119,14587,15066,14711,15182,14279,14584,12239,10135,9026,12320,11209,12092,14394,15512,16280,16413,16670,17912,19113,19448,18658,19434,18760,18967,16497,16036,17080,17554,18934,18251,17996,16556
58,Female,6551,6782,6939,6656,7431,7329,6910,8040,7714,9195,7821,8424,8587,8521,8352,8889,8701,8740,8938,9293,8877,9279,8715,8870,7305,6156,5480,7351,6807,7385,9046,9880,10288,10303,10326,10699,10553,11150,10495,10794,10482,10654,9228,8918,9467,9841,10736,10258,10143,9285
58,Male,4090,3999,3904,3884,4109,4317,4172,4721,4713,5209,4957,5559,5562,5566,5346,5902,5590,5379,5649,5773,5834,5903,5564,5714,4934,3979,3546,4969,4402,4707,5348,5632,5992,6110,6344,7213,8560,8298,8163,8640,8278,8313,7269,7118,7613,7713,8198,7993,7853,7271
59,All,10835,10561,10691,10751,10471,11434,11542,10985,12629,12302,14211,12694,13931,13983,13992,13579,14631,14246,13899,14502,14858,14590,15071,14148,14434,12105,10029,8916,12206,11082,11916,14219,15271,16070,16188,16436,17712,18873,19190,18373,19113,18441,18558,16121,15606,16623,17149,18491,17899,17650
59,Female,6634,6562,6770,6934,6666,7398,7301,6909,8002,7661,9115,7808,8421,8505,8519,8330,8848,8729,8643,8938,9224,8842,9256,8681,8825,7264,6137,5469,7326,6780,7315,9001,9785,10210,10217,10245,10636,10473,11087,10404,10680,10383,10498,9070,8771,9303,9690,10574,10125,10023
59,Male,4201,3999,3921,3817,3805,4036,4241,4076,4627,4641,5096,4886,5510,5478,5473,5249,5783,5517,5256,5564,5634,5748,5815,5467,5609,4841,3892,3447,4880,4302,4601,5218,5486,5860,5971,6191,7076,8400,8103,7969,8433,8058,8060,7051,6835,7320,7459,7917,7774,7627
60,All,10035,10768,10462,10573,10703,10350,11292,11435,10854,12475,12220,13982,12620,13769,13856,13839,13459,14442,14169,13689,14351,14706,14491,14900,14007,14257,11989,9930,8817,12070,10899,11735,14046,15012,15809,15963,16196,17504,18627,18885,18051,18774,18052,18048,15769,15180,16237,16783,18098,17502
60,Female,6270,6661,6559,6745,6950,6630,7353,7297,6866,7947,7644,9001,7798,8362,8492,8471,8305,8783,8735,8561,8899,9183,8823,9195,8646,8750,7235,6112,5439,7287,6715,7254,8926,9673,10103,10134,10153,10580,10401,10977,10315,10560,10235,10306,8923,8623,9180,9572,10440,9990
60,Male,3765,4107,3903,3828,3753,3720,3939,4138,3988,4528,4576,4981,4822,5407,5364,5368,5154,5659,5434,5128,5452,5523,5668,5705,5361,5507,4754,3818,3378,4783,4184,4481,5120,5339,5706,5829,6043,6924,8226,7908,7736,8214,7817,7742,6846,6557,7057,7211,7658,7512
61,All,10487,9941,10637,10316,10502,10577,10207,11179,11273,10710,12371,12080,13745,12500,13659,13697,13663,13296,14233,14082,13467,14178,14575,14361,14707,13873,14078,11834,9788,8679,11884,10751,11548,13840,14746,15578,15683,15971,17222,18329,18555,17653,18338,17549,17559,15326,14814,15855,16390,17742
61,Female,6688,6267,6637,6507,6746,6908,6584,7323,7239,6809,7892,7590,8900,7757,8351,8420,8399,8254,8721,8731,8452,8842,9158,8798,9119,8598,8674,7188,6079,5394,7204,6660,7164,8843,9546,10008,10025,10080,10486,10314,10871,10170,10406,10036,10103,8742,8496,9045,9429,10316
61,Male,3799,3674,4000,3809,3756,3669,3623,3856,4034,3901,4479,4490,4845,4743,5308,5277,5264,5042,5512,5351,5015,5336,5417,5563,5588,5275,5404,4646,3709,3285,4680,4091,4384,4997,5200,5570,5658,5891,6736,8015,7684,7483,7932,7513,7456,6584,6318,6810,6961,7426
62,All,8935,10435,9838,10480,10234,10387,10434,10079,11019,11132,10671,12176,11948,13471,12416,13506,13462,13444,13121,14031,13970,13351,13984,14403,14205,14486,13682,13849,11685,9668,8576,11700,10561,11329,13625,14447,15330,15435,15729,16956,17959,18147,17240,17772,17091,17054,14905,14438,15477,15969
62,Female,5517,6710,6239,6587,6507,6715,6850,6572,7259,7185,6813,7795,7538,8761,7769,8287,8307,8315,8204,8643,8728,8429,8776,9103,8748,9031,8526,8578,7141,6047,5361,7124,6593,7070,8774,9415,9912,9944,9993,10379,10180,10718,9994,10184,9854,9907,8557,8365,8907,9271
62,Male,3418,3725,3599,3893,3727,3672,3584,3507,3760,3947,3858,4381,4410,4710,4647,5219,5155,5129,4917,5388,5242,4922,5208,5300,5457,5455,5156,5271,4544,3621,3215,4576,3968,4259,4851,5032,5418,5491,5736,6577,7779,7429,7246,7588,7237,7147,6348,6073,6570,6698
63,All,9551,8833,10307,9652,10378,10064,10208,10293,9913,10830,11053,10546,11988,11799,13212,12266,13294,13240,13248,12913,13764,13724,13196,13761,14158,14039,14262,13450,13610,11497,9482,8426,11466,10353,11110,13336,14110,15050,15210,15455,16608,17501,17691,16690,17221,16568,16578,14501,14059,15071
63,Female,6109,5519,6688,6173,6562,6447,6630,6816,6499,7176,7190,6768,7722,7488,8649,7720,8194,8200,8247,8133,8561,8638,8388,8696,9007,8699,8944,8433,8483,7072,5954,5307,7034,6520,6976,8650,9262,9796,9837,9867,10220,10016,10541,9756,9961,9639,9739,8404,8233,8773
63,Male,3442,3314,3619,3479,3816,3617,3578,3477,3414,3654,3863,3778,4266,4311,4563,4546,5100,5040,5001,4780,5203,5086,4808,5065,5151,5340,5318,5017,5127,4425,3528,3119,4432,3833,4134,4686,4848,5254,5373,5588,6388,7485,7150,6934,7260,6929,6839,6097,5826,6298
64,All,9322,9399,8661,10114,9529,10168,9866,10029,10127,9742,10696,10844,10444,11750,11605,12911,12078,13107,12966,13023,12670,13549,13494,13072,13491,13922,13815,13993,13216,13321,11273,9292,8254,11235,10162,10900,13058,13807,14770,14879,15094,16163,16993,17110,16162,16649,16059,16152,14173,13678
64,Female,5985,6067,5469,6622,6145,6475,6372,6584,6745,6436,7132,7097,6735,7624,7433,8509,7634,8120,8069,8165,8050,8490,8541,8354,8581,8915,8620,8837,8332,8363,6990,5880,5241,6935,6450,6893,8527,9122,9656,9689,9723,10014,9825,10272,9553,9741,9456,9581,8271,8097
64,Male,3337,3332,3192,3492,3384,3693,3494,3445,3382,3306,3564,3747,3709,4126,4172,4402,4444,4987,4897,4858,4620,5059,4953,4718,4910,5007,5195,5156,4884,4958,4283,3412,3013,4300,3712,4007,4531,4685,5114,5190,5371,6149,7168,6838,6609,6908,6603,6571,5902,5581
65,All,8830,9137,9202,8478,9937,9312,9934,9676,9838,9947,9599,10487,10629,10305,11506,11431,12581,11874,12876,12689,12730,12405,13292,13206,12863,13194,13671,13559,13703,12957,13025,11038,9056,8076,10946,9925,10623,12786,13476,14450,14557,14740,15688,16390,16497,15672,16088,15600,15711,13787
65,Female,5629,5926,6007,5403,6556,6053,6384,6308,6491,6665,6395,7024,7019,6701,7518,7375,8322,7548,8029,7953,8059,7967,8367,8424,8265,8442,8817,8531,8713,8216,8241,6886,5771,5183,6824,6354,6758,8395,8963,9496,9547,9563,9813,9574,10010,9357,9534,9277,9420,8130
65,Male,3201,3211,3195,3075,3381,3259,3550,3368,3347,3282,3204,3463,3610,3604,3988,4056,4259,4326,4847,4736,4671,4438,4925,4782,4598,4752,4854,5028,4990,4741,4784,4152,3285,2893,4122,3571,3865,4391,4513,4954,5010,5177,5875,6816,6487,6315,6554,6323,6291,5657
66,All,8550,8643,8922,8949,8284,9723,9087,9697,9423,9605,9731,9389,10285,10370,10117,11190,11180,12218,11650,12613,12361,12432,12131,13014,12862,12617,12896,13365,13292,13389,12657,12716,10762,8856,7901,10650,9669,10339,12480,13133,14056,14110,14329,15075,15771,15883,15163,15565,15176,15192
66,Female,5430,5559,5832,5905,5326,6460,5949,6279,6197,6379,6571,6291,6918,6912,6619,7378,7258,8143,7456,7931,7804,7934,7837,8249,8274,8178,8297,8692,8433,8568,8113,8111,6773,5667,5106,6680,6250,6639,8238,8775,9311,9325,9358,9537,9328,9722,9149,9325,9111,9236
66,Male,3120,3084,3090,3044,2958,3263,3138,3418,3226,3226,3160,3098,3367,3458,3498,3812,3922,4075,4194,4682,4557,4498,4294,4765,4588,4439,4599,4673,4859,4821,4544,4605,3989,3189,2795,3970,3419,3700,4242,4358,4745,4785,4971,5538,6443,6161,6014,6240,6065,5956
67,All,7906,8321,8411,8681,8736,8044,9484,8870,9441,9177,9425,9457,9185,10027,10072,9952,10856,10893,11845,11379,12290,12097,12138,11857,12678,12568,12324,12540,13035,12977,13050,12322,12396,10469,8606,7672,10336,9396,10039,12191,12771,13629,13684,13734,14498,15148,15304,14682,15118,14736
67,Female,5042,5349,5487,5729,5808,5209,6333,5860,6172,6074,6308,6421,6193,6777,6766,6552,7207,7143,7952,7343,7790,7686,7799,7716,8108,8152,8060,8135,8560,8319,8415,7971,7964,6640,5553,5016,6547,6128,6498,8084,8601,9117,9121,9079,9272,9083,9476,8942,9143,8938
67,Male,2864,2972,2924,2952,2928,2835,3151,3010,3269,3103,3117,3036,2992,3250,3306,3400,3649,3750,3893,4036,4500,4411,4339,4141,4570,4416,4264,4405,4475,4658,4635,4351,4432,3829,3053,2656,3789,3268,3541,4107,4170,4512,4563,4655,5226,6065,5828,5740,5975,5798
68,All,7065,7667,8084,8153,8412,8452,7761,9222,8617,9167,8976,9153,9167,8971,9737,9788,9725,10533,10617,11434,11065,11962,11796,11826,11579,12325,12191,12001,12188,12652,12595,12696,11988,12034,10182,8344,7471,10008,9122,9752,11839,12323,13178,13153,13169,13898,14581,14769,14251,14596
68,Female,4553,4938,5252,5361,5608,5667,5073,6212,5738,6033,5996,6169,6277,6066,6609,6643,6445,7034,7011,7751,7219,7655,7567,7665,7585,7952,7962,7903,7975,8397,8157,8256,7826,7789,6500,5419,4945,6390,5995,6355,7903,8369,8886,8837,8797,9002,8840,9238,8768,8928
68,Male,2512,2729,2832,2792,2804,2785,2688,3010,2879,3134,2980,2984,2890,2905,3128,3145,3280,3499,3606,3683,3846,4307,4229,4161,3994,4373,4229,4098,4213,4255,4438,4440,4162,4245,3682,2925,2526,3618,3127,3397,3936,3954,4292,4316,4372,4896,5741,5531,5483,5668
69,All,7330,6840,7419,7753,7871,8143,8199,7532,8944,8368,8881,8701,8868,8838,8701,9464,9451,9476,10169,10336,11025,10766,11621,11451,11473,11235,11952,11795,11687,11777,12247,12179,12307,11597,11675,9843,8067,7225,9675,8829,9448,11376,11879,12634,12606,12612,13350,14031,14293,13766
69,Female,4780,4461,4831,5093,5216,5470,5528,4958,6069,5613,5889,5847,6026,6103,5914,6467,6480,6329,6858,6885,7561,7097,7514,7409,7507,7413,7774,7771,7766,7745,8197,7956,8071,7648,7629,6348,5273,4836,6219,5860,6204,7665,8131,8597,8570,8521,8750,8619,9023,8565
69,Male,2550,2379,2588,2660,2655,2673,2671,2574,2875,2755,2992,2854,2842,2735,2787,2997,2971,3147,3311,3451,3464,3669,4107,4042,3966,3822,4178,4024,3921,4032,4050,4223,4236,3949,4046,3495,2794,2389,3456,2969,3244,3711,3748,4037,4036,4091,4600,5412,5270,5201
70,All,6758,7072,6583,7097,7505,7584,7810,7926,7219,8635,8135,8545,8404,8566,8520,8453,9131,9102,9194,9775,9982,10662,10417,11212,11065,11118,10826,11513,11349,11305,11390,11830,11747,11892,11231,11268,9495,7794,6994,9345,8499,9095,10949,11378,12119,12035,12090,12803,13477,13732
70,Female,4432,4664,4342,4691,4980,5089,5304,5396,4809,5912,5498,5709,5686,5867,5932,5789,6299,6304,6182,6664,6712,7389,6941,7326,7206,7331,7238,7570,7546,7592,7553,8006,7758,7854,7489,7435,6182,5149,4727,6052,5677,6051,7440,7878,8308,8264,8243,8470,8371,8756
70,Male,2326,2408,2241,2406,2525,2495,2506,2530,2410,2723,2637,2836,2718,2699,2588,2664,2832,2798,3012,3111,3270,3273,3476,3886,3859,3787,3588,3943,3803,3713,3837,3824,3989,4038,3742,3833,3313,2645,2267,3293,2822,3044,3509,3500,3811,3771,3847,4333,5106,4976
71,All,6395,6499,6803,6300,6844,7191,7249,7535,7656,6892,8310,7835,8206,8114,8266,8184,8148,8785,8735,8901,9361,9601,10339,10056,10795,10674,10691,10437,11071,10878,10878,10972,11396,11286,11493,10815,10801,9177,7523,6718,9002,8121,8694,10400,10867,11566,11522,11621,12331,12941
71,Female,4222,4296,4531,4196,4564,4830,4909,5166,5241,4645,5716,5342,5520,5527,5699,5740,5609,6099,6095,6043,6444,6522,7222,6768,7117,7027,7102,7028,7333,7291,7362,7350,7775,7535,7648,7280,7203,6038,5007,4588,5899,5464,5832,7132,7590,8024,7987,7979,8260,8136
71,Male,2173,2203,2272,2104,2280,2361,2340,2369,2415,2247,2594,2493,2686,2587,2567,2444,2539,2686,2640,2858,2917,3079,3117,3288,3678,3647,3589,3409,3738,3587,3516,3622,3621,3751,3845,3535,3598,3139,2516,2130,3103,2657,2862,3268,3277,3542,3535,3642,4071,4805
72,All,5847,6090,6249,6521,6033,6541,6886,6947,7244,7357,6661,7950,7521,7843,7793,7983,7823,7813,8409,8380,8572,8985,9202,9953,9628,10403,10281,10215,10010,10578,10452,10406,10545,10959,10806,11032,10362,10353,8835,7212,6415,8569,7730,8261,9890,10303,11047,11018,11137,11796
72,Female,3862,4054,4168,4376,4071,4403,4663,4752,5006,5062,4529,5486,5149,5309,5338,5548,5524,5407,5876,5915,5892,6250,6307,7001,6554,6925,6833,6852,6821,7070,7051,7121,7146,7541,7299,7396,7052,6983,5867,4830,4430,5671,5247,5598,6840,7265,7728,7720,7720,7981
72,Male,1985,2036,2081,2145,1962,2138,2223,2195,2238,2295,2132,2464,2372,2534,2455,2435,2299,2406,2533,2465,2680,2735,2895,2952,3074,3478,3448,3363,3189,3508,3401,3285,3399,3418,3507,3636,3310,3370,2968,2382,1985,2898,2483,2663,3050,3038,3319,3298,3417,3815
73,All,5677,5524,5782,5893,6186,5702,6225,6585,6630,6894,7023,6390,7545,7163,7492,7448,7623,7449,7464,8004,7933,8140,8634,8789,9511,9249,9892,9794,9723,9552,10103,9963,9904,10136,10464,10252,10554,9881,9896,8455,6892,6096,8156,7298,7757,9369,9807,10500,10530,10597
73,Female,3737,3698,3891,3987,4228,3890,4228,4496,4573,4815,4859,4374,5249,4958,5117,5147,5339,5293,5209,5653,5665,5658,6067,6053,6753,6385,6654,6579,6601,6552,6810,6808,6860,6940,7253,7023,7161,6810,6744,5659,4658,4259,5457,5010,5327,6538,6997,7431,7464,7449
73,Male,1940,1826,1891,1906,1958,1812,1997,2089,2057,2079,2164,2016,2296,2205,2375,2301,2284,2156,2255,2351,2268,2482,2567,2736,2758,2864,3238,3215,3122,3000,3293,3155,3044,3196,3211,3229,3393,3071,3152,2796,2234,1837,2699,2288,2430,2831,2810,3069,3066,3148
74,All,5362,5355,5206,5371,5579,5818,5358,5896,6221,6279,6552,6691,6087,7108,6804,7133,7031,7228,7061,7091,7592,7551,7707,8261,8342,9142,8769,9365,9306,9236,9065,9587,9467,9427,9644,9949,9765,10059,9414,9425,8043,6516,5804,7649,6886,7266,8894,9341,10027,9985
74,Female,3619,3578,3515,3657,3811,4021,3684,4056,4293,4370,4601,4646,4196,4997,4759,4908,4895,5092,5060,5002,5405,5455,5413,5847,5797,6538,6097,6380,6324,6342,6286,6528,6528,6577,6658,6974,6765,6893,6555,6469,5418,4458,4097,5161,4776,5052,6262,6711,7154,7157
74,Male,1743,1777,1691,1714,1768,1797,1674,1840,1928,1909,1951,2045,1891,2111,2045,2225,2136,2136,2001,2089,2187,2096,2294,2414,2545,2604,2672,2985,2982,2894,2779,3059,2939,2850,2986,2975,3000,3166,2859,2956,2625,2058,1707,2488,2110,2214,2632,2630,2873,2828
75,All,5262,5020,5014,4863,5031,5184,5488,5050,5544,5851,5919,6182,6330,5746,6703,6449,6721,6649,6849,6649,6698,7194,7133,7229,7842,7895,8661,8250,8807,8795,8703,8569,9081,8937,8920,9122,9400,9231,9527,8918,8931,7560,6131,5425,7178,6453,6837,8427,8844,9482
75,Female,3551,3426,3387,3316,3464,3592,3812,3504,3847,4084,4170,4366,4439,4017,4755,4548,4673,4668,4872,4800,4767,5162,5200,5124,5599,5528,6258,5800,6063,6063,6033,6009,6249,6218,6275,6355,6673,6458,6589,6266,6198,5144,4247,3875,4897,4518,4819,6003,6400,6807
75,Male,1711,1594,1627,1547,1567,1592,1676,1546,1697,1767,1749,1816,1891,1729,1948,1901,2048,1981,1977,1849,1931,2032,1933,2105,2243,2367,2403,2450,2744,2732,2670,2560,2832,2719,2645,2767,2727,2773,2938,2652,2733,2416,1884,1550,2281,1935,2018,2424,2444,2675
76,All,4690,4892,4630,4629,4524,4657,4811,5122,4722,5198,5487,5539,5795,5886,5413,6276,6069,6274,6273,6444,6182,6272,6771,6724,6784,7421,7346,8157,7746,8273,8270,8161,8047,8541,8442,8359,8511,8872,8690,8996,8393,8417,7077,5683,5041,6724,6066,6369,7978,8299
76,Female,3181,3339,3203,3157,3124,3248,3364,3614,3313,3629,3853,3936,4125,4166,3827,4462,4318,4412,4445,4617,4522,4501,4895,4947,4848,5355,5208,5937,5498,5740,5748,5711,5715,5965,5930,5936,5999,6371,6144,6274,5946,5904,4862,3980,3643,4650,4276,4523,5738,6047
76,Male,1509,1553,1427,1472,1400,1409,1447,1508,1409,1569,1634,1603,1670,1720,1586,1814,1751,1862,1828,1827,1660,1771,1876,1777,1936,2066,2138,2220,2248,2533,2522,2450,2332,2576,2512,2423,2512,2501,2546,2722,2447,2513,2215,1703,1398,2074,1790,1846,2240,2252
77,All,4075,4275,4520,4221,4253,4163,4309,4461,4758,4366,4857,5067,5169,5360,5452,5113,5830,5635,5849,5885,5977,5769,5858,6296,6293,6363,6895,6825,7605,7189,7730,7728,7618,7548,7985,7892,7806,7973,8318,8153,8428,7839,7853,6576,5315,4644,6255,5671,5951,7450
77,Female,2786,2948,3117,2949,2933,2892,3032,3160,3389,3097,3439,3591,3715,3834,3903,3664,4159,4069,4173,4200,4319,4248,4237,4599,4665,4583,5041,4896,5605,5160,5431,5419,5391,5416,5622,5598,5614,5676,6036,5810,5922,5600,5550,4567,3756,3396,4393,4036,4280,5424
77,Male,1289,1327,1403,1272,1320,1271,1277,1301,1369,1269,1418,1476,1454,1526,1549,1449,1671,1566,1676,1685,1658,1521,1621,1697,1628,1780,1854,1929,2000,2029,2299,2309,2227,2132,2363,2294,2192,2297,2282,2343,2506,2239,2303,2009,1559,1248,1862,1635,1671,2026
78,All,3416,3700,3924,4080,3896,3894,3765,3964,4067,4400,4013,4504,4664,4777,4985,5049,4771,5365,5256,5366,5420,5545,5347,5428,5830,5822,5830,6348,6268,6998,6652,7171,7143,7097,7025,7344,7281,7249,7370,7752,7552,7798,7235,7244,6075,4912,4313,5816,5280,5514
78,Female,2381,2554,2720,2860,2735,2715,2644,2827,2919,3150,2886,3227,3329,3452,3609,3647,3457,3866,3824,3853,3906,4044,3986,3970,4284,4346,4253,4698,4549,5221,4839,5106,5058,5066,5094,5248,5222,5272,5313,5670,5452,5519,5206,5182,4280,3508,3177,4130,3804,4018
78,Male,1035,1146,1204,1220,1161,1179,1121,1137,1148,1250,1127,1277,1335,1325,1376,1402,1314,1499,1432,1513,1514,1501,1361,1458,1546,1476,1577,1650,1719,1777,1813,2065,2085,2031,1931,2096,2059,1977,2057,2082,2100,2279,2029,2062,1795,1404,1136,1686,1476,1496
79,All,3383,3105,3345,3505,3681,3524,3512,3406,3586,3703,4032,3664,4124,4268,4335,4609,4631,4406,4902,4809,4833,4976,5101,4937,4983,5364,5367,5296,5839,5713,6448,6079,6566,6623,6561,6426,6694,6671,6688,6808,7183,6948,7120,6611,6635,5606,4510,3996,5390,4891
79,Female,2295,2204,2330,2474,2617,2491,2469,2411,2583,2672,2930,2661,2972,3089,3162,3362,3383,3202,3562,3543,3503,3631,3742,3725,3687,4007,4033,3910,4354,4189,4845,4488,4740,4733,4730,4716,4859,4837,4910,4930,5296,5059,5107,4808,4794,4003,3273,2977,3866,3576
79,Male,1088,901,1015,1031,1064,1033,1043,995,1003,1031,1102,1003,1152,1179,1173,1247,1248,1204,1340,1266,1330,1345,1359,1212,1296,1357,1334,1386,1485,1524,1603,1591,1826,1890,1831,1710,1835,1834,1778,1878,1887,1889,2013,1803,1841,1603,1237,1019,1524,1315
80,All,2539,3031,2788,2965,3155,3288,3180,3186,3037,3216,3343,3676,3295,3701,3882,3935,4183,4200,4064,4412,4367,4416,4551,4650,4514,4534,4846,4858,4747,5315,5193,5804,5498,5994,6068,5977,5828,6171,6062,6091,6225,6532,6397,6428,6018,6036,5102,4153,3669,4902
80,Female,1814,2089,2008,2092,2267,2353,2269,2269,2175,2341,2444,2678,2415,2680,2830,2900,3091,3091,2977,3243,3245,3235,3361,3430,3441,3388,3673,3679,3542,4003,3857,4424,4121,4391,4393,4339,4297,4520,4441,4497,4550,4877,4693,4668,4426,4428,3692,3058,2753,3553
80,Male,725,942,780,873,888,935,911,917,862,875,899,998,880,1021,1052,1035,1092,1109,1087,1169,1122,1181,1190,1220,1073,1146,1173,1179,1205,1312,1336,1380,1377,1603,1675,1638,1531,1651,1621,1594,1675,1655,1704,1760,1592,1608,1410,1095,916,1349
81,All,2097,2264,2680,2419,2615,2789,2919,2852,2858,2667,2854,3018,3291,2944,3309,3504,3553,3741,3749,3708,3901,3891,3984,4102,4179,4076,4057,4350,4388,4193,4775,4675,5248,4932,5399,5456,5381,5305,5605,5505,5530,5630,5937,5756,5764,5408,5512,4677,3795,3313
81,Female,1453,1633,1848,1770,1871,2031,2110,2052,2060,1935,2096,2240,2427,2183,2416,2562,2624,2780,2788,2759,2878,2923,2956,3065,3129,3126,3066,3321,3340,3149,3634,3521,4032,3745,4005,4011,3949,3948,4138,4038,4118,4129,4481,4257,4250,4015,4063,3417,2829,2511
81,Male,644,631,832,649,744,758,809,800,798,732,758,778,864,761,893,942,929,961,961,949,1023,968,1028,1037,1050,950,991,1029,1048,1044,1141,1154,1216,1187,1394,1445,1432,1357,1467,1467,1412,1501,1456,1499,1514,1393,1449,1260,966,802
82,All,1832,1844,1978,2343,2149,2301,2470,2611,2524,2528,2388,2568,2695,2917,2621,2971,3116,3139,3328,3335,3290,3501,3461,3551,3676,3754,3645,3586,3870,3884,3695,4266,4118,4718,4411,4842,4820,4820,4706,4987,4933,4930,5037,5273,5134,5139,4816,4974,4266,3404
82,Female,1263,1293,1440,1650,1592,1664,1813,1905,1844,1845,1757,1891,2019,2153,1967,2179,2288,2359,2498,2514,2456,2592,2628,2678,2774,2829,2847,2745,2981,2982,2816,3284,3130,3642,3382,3613,3580,3581,3544,3703,3641,3712,3725,4026,3834,3808,3624,3713,3162,2568
82,Male,569,551,538,693,557,637,657,706,680,683,631,677,676,764,654,792,828,780,830,821,834,909,833,873,902,925,798,841,889,902,879,982,988,1076,1029,1229,1240,1239,1162,1284,1292,1218,1312,1247,1300,1331,1192,1261,1104,836
83,All,1736,1565,1557,1607,2018,1872,1977,2168,2301,2192,2206,2108,2248,2337,2597,2296,2603,2731,2761,2884,2913,2900,3123,3033,3129,3227,3301,3162,3133,3369,3410,3228,3738,3673,4154,3888,4287,4294,4214,4165,4429,4327,4329,4445,4623,4502,4547,4299,4477,3767
83,Female,1233,1099,1118,1191,1430,1383,1436,1607,1689,1623,1627,1559,1675,1774,1935,1744,1932,2031,2075,2191,2220,2174,2339,2325,2380,2453,2506,2492,2417,2620,2625,2496,2920,2822,3241,3003,3220,3227,3170,3171,3332,3231,3298,3311,3586,3388,3398,3272,3382,2817
83,Male,503,466,439,416,588,489,541,561,612,569,579,549,573,563,662,552,671,700,686,693,693,726,784,708,749,774,795,670,716,749,785,732,818,851,913,885,1067,1067,1044,994,1097,1096,1031,1134,1037,1114,1149,1027,1095,950
84,All,1455,1484,1378,1319,1355,1706,1609,1721,1848,1985,1908,1910,1794,1919,2048,2276,1989,2256,2367,2399,2468,2528,2558,2733,2657,2741,2825,2838,2748,2696,2887,2959,2786,3260,3235,3623,3389,3723,3728,3701,3653,3872,3752,3791,3873,4069,3953,3999,3804,3924
84,Female,1023,1072,982,961,1018,1226,1198,1263,1371,1457,1435,1420,1341,1443,1585,1713,1523,1694,1774,1803,1888,1950,1919,2071,2048,2107,2154,2164,2183,2080,2284,2304,2168,2585,2512,2835,2649,2832,2824,2794,2819,2943,2833,2904,2908,3200,2998,3021,2920,3002
84,Male,432,412,396,358,337,480,411,458,477,528,473,490,453,476,463,563,466,562,593,596,580,578,639,662,609,634,671,674,565,616,603,655,618,675,723,788,740,891,904,907,834,929,919,887,965,869,955,978,884,922
